Label,Address,Comment
PROP_RTC,0x000000A0,
current_interrupt,0x0000064C,
create_init_task,0x00003168,
DryosDebugMsg,0x00006904,
dm_set_store_level,0x00006C70,
SetHPTimerAfterNow,0x00007F94,
SetHPTimerNextTick,0x00008094,
create_named_semaphore,0x000091DC,
take_semaphore_now,0x000092E4,
take_semaphore,0x0000933C,
give_semaphore,0x00009428,
msleep,0x00009818,
task_create,0x000098CC,
GetSizeOfMaxRegion,0x0000A4A8,
GetMemoryInformation,0x0000A4FC,
AllocateMemory,0x0000A75C,
FreeMemory,0x0000AAF8,
CreateMemoryChunk,0x0000B45C,
GetMemoryAddressOfMemoryChunk,0x0000BA08,
AddMemoryChunk,0x0000BC70,
GetFirstChunkFromSuite,0x0000BD8C,
DeleteMemorySuite,0x0000C070,
CreateMemorySuite,0x0000C420,
GetNextMemoryChunk,0x0000CA90,
CreateRecursiveLock,0x0000D4D0,
dma_memcpy,0x0000D834,
SetTimerAfter,0x0000E8AC,
CancelTimer,0x0000EAAC,
task_trampoline,0x0000EF60,
SetEDmac,0x00037DD0,
ConnectWriteEDmac,0x00037F30,
ConnectReadEDmac,0x00037FF4,
StartEDmac,0x0003817C,
AbortEDmac,0x000384A0,
RegisterEDmacCompleteCBR,0x00038540,
UnregisterEDmacCompleteCBR,0x0003857C,
RegisterEDmacAbortCBR,0x000385D4,
UnregisterEDmacAbortCBR,0x00038610,
RegisterEDmacPopCBR,0x00038668,
UnregisterEDmacPopCBR,0x000386A4,
msg_queue_create,0x0003A4E8,
msg_queue_receive,0x0003A5F8,
msg_queue_post,0x0003A7E4,
msg_queue_count,0x0003A824,
AcquireRecursiveLock,0x0003A930,
ReleaseRecursiveLock,0x0003AA44,
vsnprintf,0x0003BFC4,
TryPostStageEvent,0x0003D644,
TryPostStageEvent_end,0x0003D6A0,
TryPostEvent,0x0003DD24,
TryPostEvent_end,0x0003DD80,
alloc_dma_memory,0x0003DF6C,
free_dma_memory,0x0003DFA0,
get_task_info_by_id,0x00051358,
socket_create,0x00059AF8,
socket_recv,0x00059CE8,
socket_connect,0x00059DDC,
socket_bind,0x00059E94,
socket_send,0x0005A09C,
socket_setsockopt,0x0005A810,
socket_listen,0x0005A9D0,
bzero32,0x00071618,
pre_isr_hook,0x0007A9B8,
post_isr_hook,0x0007A9BC,
current_task,0x0007AAC0,
task_dispatch_hook,0x0007AAD4,
gui_main_struct,0x0007AE14,
sounddev,0x0007B1F8,
dm_names,0x0007B868,
task_max,0x0007BEF4,
mvr_config,0x000946E0,
gui_task_list,0x0009DBC8,
sd_device,0x000A8118,
LCD_Palette,0x000BC2E8,
bmp_vram_info,0x000BDAE8,
get_current_task_name,0x00453550,
__priv_malloc,0x00455CB4,
__mem_malloc,0x004570B8,
shoot_malloc_suite,0x00457578,
edmac_index_to_channel,0x004576F8,
edmac_get_connection,0x00457954,
edmac_bytes_per_transfer,0x00457BCC,
menu_remove,0x0045C6AC,
run_in_separate_task,0x0045D1A8,
ml_gui_main_task,0x004632D0,
raw2shutter_ms,0x0046CE98,
shutter_ms_to_raw,0x0046CEEC,
raw2iso,0x0046DDC8,
val2raw_iso,0x0046E1C8,
split_iso,0x0046E630,
iso_components_update,0x0046E684,
bv_apply_iso,0x0046F618,
lens_set_rawiso,0x0046FA8C,
hdr_set_rawiso,0x0046FC80,
get_max_analog_iso,0x0046FD84,
prop_init,0x00470068,
is_movie_mode,0x004707C4,
get_video_mode_name,0x004707F0,
get_max_shutter_timer,0x0047651C,
schedule_remote_shot,0x0047DB24,
remote_shot,0x0047E00C,
GetBatteryLevel,0x00482334,
ml_register_cbr,0x00487838,
edmac_memcpy,0x0048CAD4,
edmac_raw_slurp,0x0048CAEC,
sound_recording_enabled_canon,0x0048FBAC,
sound_recording_enabled,0x0048FBC4,
get_audio_levels,0x0048FCAC,
audio_configure,0x0049025C,
mirror_down,0x004C8AF8,
battery_level_bars,0x004C8B0C,
sound_recording_mode,0x004C8B10,
auto_power_off_time,0x004C8B18,
shutter_count,0x004C8B3C,
camera_model_id,0x004C8B6C,
camera_model,0x004C8B70,
camera_serial,0x004C8BC0,
remote_shot_flag,0x004CAC90,
PROP_AFMA,0x80010006,
PROP_LV_LENS,0x80050000,
camera_engine,0xC0220000,
TurnOnDisplay,0xF813B210,
TurnOffDisplay,0xF813B334,
EnableHDMIAudio,0xF813BC5C,
DisablePowerSave,0xF814455C,
EnablePowerSave,0xF81445C8,
DisablePowerSave,0xF8162FA8,
FA_SetTouchTestTime,0xF8193BCC,
FA_SetTouchIntervalTime,0xF8193BDC,
FA_IncreaseGap,0xF8195E18,
FA_DecreaseGap,0xF8195E78,
FA_CheckSD,0xF8195ED8,
FA_ResetCalendar,0xF81CE888,
FA_SetCalendar,0xF81CE8F8,
FA_GetCalendar,0xF81CEA48,
FA_CreateTestImage,0xF81CEE18,
FA_DeleteTestImage,0xF81CF00C,
FA_StartLiveView,0xF81CFE00,
FA_StopLiveView,0xF81CFE30,
FA_StartLvTestImage,0xF81D00B8,
FA_StopLvTestImage,0xF81D0104,
FA_StartLvTestExposureImage,0xF81D0144,
FA_StopLvTestExposureImage,0xF81D0190,
FA_ReadEepromData,0xF81D04C4,
FA_WriteEepromData,0xF81D0510,
FA_LvDefectMaxCountFull,0xF81D0FA0,
FA_LvDetectDefectsFull,0xF81D0FA8,
FA_LvDefectMaxCountMagnify,0xF81D0FE0,
FA_LvDetectDefectsMagnify,0xF81D0FE8,
FA_LvMargeDefectsMagnify,0xF81D1020,
FA_LvDetectDefectsMovieCrop,0xF81D1068,
FA_DISP_Start100White,0xF81D10C4,
FA_DISP_End100White,0xF81D10FC,
FA_DISP_Start50Gray,0xF81D112C,
FA_DISP_End50Gray,0xF81D1164,
FA_DISP_StartColor,0xF81D1294,
FA_DISP_EndColor,0xF81D12E8,
FA_DISP_StartMix,0xF81D1318,
FA_DISP_SetBrightness,0xF81D1358,
FA_DISP_COM_SetCamera,0xF81D1364,
FA_DarkAdjAutoExecute,0xF81D18FC,
FA_SetProperty,0xF81D21E4,
FA_CreateTestImage,0xF81D21F8,
FA_DeleteTestImage,0xF81D2304,
FA_SavePropertyList,0xF81D2B5C,
FA_DarkCheckAutoExecutePP,0xF81D2C94,
FA_DarkCheckAutoExecuteCH,0xF81D324C,
FA_StartLvTestImage,0xF81D3C84,
FA_DarkLevelCheckAutoExecute,0xF81D5B68,
FA_ChkAssembly,0xF81D5E4C,
FA_ChkWlan,0xF81D5EB4,
InitializePTPFrameworkController,0xF829CE68,
TerminatePTPFrameworkController,0xF829CF2C,
FA_RecordSound,0xF8316C14,
FA_RecordSoundEnd,0xF8316EFC,
FA_MacSelfCheck,0xF8325CA8,
EnableFilter,0xF832C464,
DisableFilter,0xF832C478,
