rom1_offset,rom1_addr,name,runtime_func_addr
0xA15F54,0xF8A15F54,FA_SetMacAddress,0xFF1D5E68
0xA15F64,0xF8A15F64,FA_WriteMem1File,0xFF1CFD68
0xA15F6C,0xF8A15F6C,FA_WriteMem1File2,0xFF1CFD84
0xA15F74,0xF8A15F74,FA_WriteYuvFile,0xFF1CFDA4
0xA15F84,0xF8A15F84,FA_GetSoundLevel,0xFF11CD1C
0xA7EA88,0xF8A7EA88,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,0xFFB1A10C
0xA7EA90,0xF8A7EA90,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,0xFFB19B6F
0xA7EA98,0xF8A7EA98,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,0xFFB19537
0xA81DBC,0xF8A81DBC,MonOpen,0xFF1CDDB0
0xA81DC4,0xF8A81DC4,MonClose,0xFF1CDDB4
0xA81DCC,0xF8A81DCC,MonRead,0xFF1CDDB8
0xA81DDC,0xF8A81DDC,MonWrite,0xFF1CDE34
0xA81DE4,0xF8A81DE4,MonCall,0xFF1CDE54
0xA81DEC,0xF8A81DEC,FA_TestMonRead,0xFF1CDE64
0xA81DF4,0xF8A81DF4,FA_TestMonCall,0xFF1CE08C
0xA81DFC,0xF8A81DFC,FA_TestMonReadAndWrite,0xFF1CDF84
0xBD59A8,0xF8BD59A8,PTPSetSessionID,0xFF2A0014
0xBD5CF4,0xF8BD5CF4,LughDisconnect,0xFF2AE53C
0xBD5CFC,0xF8BD5CFC,LughPowerOn,0xFF2AE518
0xBD6AF8,0xF8BD6AF8,SetPrintAngelParam,0xFF2BAD04
0xBD6B00,0xF8BD6B00,SetPrintPonyParam,0xFF2BAD14
0xBD6B08,0xF8BD6B08,SetSfrDevelopParam,0xFF2BAD24
0xBD7304,0xF8BD7304,FA_SetProperty,0xFF4A6EC0
0xBD730C,0xF8BD730C,FA_SetProperty32,0xFF4A6F98
0xBD7314,0xF8BD7314,FA_ClearBitProperty32,0xFF4A6FBC
0xBD731C,0xF8BD731C,FA_SeBitProperty32,0xFF4A711C
0xBD732C,0xF8BD732C,FA_GetPropertyAddress,0xFF4A7204
0xBD733C,0xF8BD733C,FA_LoadProperty,0xFF4A77B4
0xBD7344,0xF8BD7344,FA_AddProperty,0xFF4A77F8
0xBD734C,0xF8BD734C,FA_DeleteProperty,0xFF4A7880
0xBD735C,0xF8BD735C,FA_SetSavePropertyListNum,0xFF4A7440
0xBD7364,0xF8BD7364,FA_RegistSavePropertyList,0xFF4A748C
0xBD736C,0xF8BD736C,FA_WaitSavePropertyList,0xFF4A758C
0xBD7374,0xF8BD7374,FA_SavePropertyList,0xFF4A75A4
0xBD737C,0xF8BD737C,FA_GetTuneDataPropertyList,0xFF4A7930
0xBD7384,0xF8BD7384,FA_GetPropertyDataSize,0xFF4A71A0
0xBD738C,0xF8BD738C,FA_DebugShdData,0xFF4A7DA4
0xBD7394,0xF8BD7394,FA_SetCRawBitNum,0xFF4A7F2C
0xBD739C,0xF8BD739C,FA_SetDarkLevelValue,0xFF4A7F54
0xBD73A4,0xF8BD73A4,FA_SetShadingProductionValue,0xFF4A7F54
0xBD73BC,0xF8BD73BC,FA_SetProjectionMode,0xFF4A7FF8
0xBD73C4,0xF8BD73C4,FA_SetChannelNum,0xFF4A8024
0xBD73CC,0xF8BD73CC,FA_SetBayerComponent,0xFF4A804C
0xBD73D4,0xF8BD73D4,FA_SetHProjectionRange,0xFF4A8074
0xBD73EC,0xF8BD73EC,FA_GetDetectDefCount,0xFF4A824C
0xBD73F4,0xF8BD73F4,FA_SetHLinePixelNum,0xFF4A8270
0xBD73FC,0xF8BD73FC,FA_SetMergeDefParameter,0xFF4A829C
0xBD7404,0xF8BD7404,FA_GetMergeDefCount,0xFF4A82E0
0xBD740C,0xF8BD740C,FAC_SetupDigitalPropertyData,0xFF4AAD08
0xBD7414,0xF8BD7414,FA_GetDigitalPropertyDataOffset,0xFF4AAD74
0xBD741C,0xF8BD741C,FA_GetDigitalPropertyRegisterData,0xFF4AADA8
0xBD7424,0xF8BD7424,FA_SetDigitalPropertyRegisterData,0xFF4AAE48
0xBD742C,0xF8BD742C,FA_AddDigitalPropertyRegisterData,0xFF4AAF50
0xBD7434,0xF8BD7434,FA_CheckDigitalPropertyArray,0xFF4AAFA4
0xBD7444,0xF8BD7444,FA_SubtractTestImage,0xFF4A8304
0xBD744C,0xF8BD744C,FA_MaxSelectTestImage,0xFF4A84E8
0xBD7454,0xF8BD7454,FA_DefectsTestImage,0xFF4A85BC
0xBD746C,0xF8BD746C,FA_GetObInteg,0xFF4A89E0
0xBD7484,0xF8BD7484,FA_ZeroFillTestImage,0xFF4A9604
0xBD748C,0xF8BD748C,FA_ZeroFillTestImageXY,0xFF4A96AC
0xBD74AC,0xF8BD74AC,FA_HShadingGapCheckOnChannel,0xFF4A9108
0xBD74B4,0xF8BD74B4,FA_HShadingGapCheckAllChannel,0xFF4A9170
0xBD74BC,0xF8BD74BC,FA_HShadingGapCheckEitherSide,0xFF4A91D4
0xBD74C4,0xF8BD74C4,FA_HShadingGapCheckOnChannelForTwoline,0xFF4A9344
0xBD74CC,0xF8BD74CC,FA_HShadingGapCheckAllChannelForTwoline,0xFF4A93B0
0xBD74D4,0xF8BD74D4,FA_HShadingGapCheckEitherSideForTwoline,0xFF4A9418
0xBD74E4,0xF8BD74E4,FA_EnableLinearOffset,0xFF4A9894
0xBD74EC,0xF8BD74EC,FA_DisableLinearOffset,0xFF4A98B4
0xBD74F4,0xF8BD74F4,FA_EnableFnoCorrect,0xFF4A98D4
0xBD74FC,0xF8BD74FC,FA_DisableFnoCorrect,0xFF4A98F4
0xBD7504,0xF8BD7504,FA_EnableAccumGain,0xFF4A9914
0xBD750C,0xF8BD750C,FA_DisableAccumGain,0xFF4A991C
0xBD7514,0xF8BD7514,FA_EnableLtkids,0xFF4A9924
0xBD751C,0xF8BD751C,FA_DisableLtkids,0xFF4A9934
0xBD752C,0xF8BD752C,FA_SaveWbFix,0xFF4A9CB0
0xBD7534,0xF8BD7534,FA_ReverseAdjust,0xFF4A9CE8
0xBD753C,0xF8BD753C,FA_GetReverseAdjustSum,0xFF4A9D68
0xBD7554,0xF8BD7554,FA_GetWbCoef,0xFF4AA050
0xBD7564,0xF8BD7564,FA_GetSsWbCoef,0xFF4AA06C
0xBD756C,0xF8BD756C,FA_UseAdjustDevelopParam,0xFF4AA188
0xBD7574,0xF8BD7574,FA_UseAdjustSsDevelopParam,0xFF4AA1BC
0xBD757C,0xF8BD757C,FA_YuvDevelopTestImage,0xFF4AA204
0xBD758C,0xF8BD758C,FA_GetYuvSsDevelopParam,0xFF4AA1EC
0xBD7594,0xF8BD7594,FA_CreateClrAdjustShootingInfo,0xFF4AA458
0xBD75AC,0xF8BD75AC,FA_SecDifficult,0xFF326394
0xBD75B4,0xF8BD75B4,FA_MacSelfCheck,0xFF325CA8
0xBD75BC,0xF8BD75BC,FA_GetSecCheckData,0xFF2C1F18
0xBD75D4,0xF8BD75D4,FA_GetTotalSizeOfMemory,0xFF4A7D44
0xBD75DC,0xF8BD75DC,FA_RecordSound,0xFF316C14
0xBD75EC,0xF8BD75EC,FA_GetSoundLevel,0xFF11CD1C
0xBD7604,0xF8BD7604,FA_GetFileData,0xFF4AE014
0xBD760C,0xF8BD760C,FA_GetFileSize,0xFF4ADE44
0xBD7614,0xF8BD7614,FA_DeleteFile,0xFF4AE110
0xBD761C,0xF8BD761C,FA_FormatDrive,0xFF4AE290
0xBD762C,0xF8BD762C,FA_GetCameraLogEnd,0xFF2C1F88
0xBD8C30,0xF8BD8C30,PrepareCommunication,0xFF317A2C
0xBD8C38,0xF8BD8C38,SetWiFiEnable,0xFF317A58
0xBD8C40,0xF8BD8C40,GetProtocolVersion,0xFF317A7C
0xBD8C48,0xF8BD8C48,GetProductFeatures,0xFF317AB0
0xBD8C50,0xF8BD8C50,GetFirmwareVersion,0xFF317AF4
0xBD8C58,0xF8BD8C58,GetMacAddress,0xFF317B3C
0xBD8C60,0xF8BD8C60,StartOperatingStatus,0xFF317B40
0xBD8C68,0xF8BD8C68,StartFileStatus,0xFF317B44
0xBDF4C0,0xF8BDF4C0,CUInitialize,0xFF348CA8
0xBDF4C8,0xF8BDF4C8,CUTerminate,0xFF348CAC
0xBDF4D0,0xF8BDF4D0,CUStart,0xFF348CB0
0xBDF4D8,0xF8BDF4D8,CUStop,0xFF348D14
0xBDF4E0,0xF8BDF4E0,CUSetBuffer,0xFF348D2C
0xBDF4E8,0xF8BDF4E8,CUSetMode,0xFF348D44
0xBDF4F0,0xF8BDF4F0,CUCreateTask,0xFF348D4C
0xBDF4F8,0xF8BDF4F8,CUSetPrint,0xFF348D84
0xBDF500,0xF8BDF500,CUPrintSummary,0xFF348DA0
0xBDF508,0xF8BDF508,CUPrintDetail,0xFF348DB4
0xBDF510,0xF8BDF510,CUPrintTSMonitor,0xFF348D00
0xBDFD70,0xF8BDFD70,EnterIsoSpeedAdjustmentMode,0xFF35B3DC
0xBDFD78,0xF8BDFD78,ExitIsoSpeedAdjustmentMode,0xFF35B3F8
0xBDFD80,0xF8BDFD80,SetVShadingDataType,0xFF35B430
0xDC6A74,0xF8DC6A74,TftDconOn,0xFF134E98
0xDC6A94,0xF8DC6A94,PreDispTest,0xFF139E84
0xDC6AAC,0xF8DC6AAC,TFTVariangle,0xFF13A198
0xDC6AB4,0xF8DC6AB4,KDISP_DEBUG,0xFF13A1C8
0xDC6ABC,0xF8DC6ABC,KKDISP_DEBUG,0xFF13A1D8
0xDC6AC4,0xF8DC6AC4,KKKDISP_DEBUG,0xFF13A1E8
0xDC6AD4,0xF8DC6AD4,IsTouching,0xFF13A2C4
0xDC6ADC,0xF8DC6ADC,StartTouchPanel,0xFF13A2E8
0xDC6AE4,0xF8DC6AE4,StopTouchPanel,0xFF13A2F8
0xDC6AEC,0xF8DC6AEC,SetTestMode,0xFF13A308
0xDDE684,0xF8DDE684,ChangeThresholdRate,0xFF230BF8
0xDDE68C,0xF8DDE68C,ViewThresholdRate,0xFF230C1C
0xDDF94C,0xF8DDF94C,OpenSession,0xFF29CD88
0xDDF954,0xF8DDF954,CloseSession,0xFF29CDA0
0xDE0228,0xF8DE0228,Create100White,0xFF32AF38
0xDE0230,0xF8DE0230,Create50White,0xFF32B080
0xDE0238,0xF8DE0238,DeleteWhite,0xFF32B100
0xDE0240,0xF8DE0240,CreateColor,0xFF32B138
0xDE0248,0xF8DE0248,DeleteColor,0xFF32B100
0xDE0250,0xF8DE0250,CreateMixColor,0xFF32BAB4
0xDE0270,0xF8DE0270,TestLcd,0xFF32BE2C
0xDE0298,0xF8DE0298,EnableFilter,0xFF32C464
0xDE02A0,0xF8DE02A0,DisableFilter,0xFF32C478
0xDE02A8,0xF8DE02A8,EnableFilterForHDMI,0xFF32C48C
0xDE02B0,0xF8DE02B0,DisableFilterForHDMI,0xFF32C4A0
0xDE02B8,0xF8DE02B8,SetDisplayType,0xFF32C554
0xDE02C0,0xF8DE02C0,SetBL,0xFF32C568
0xDE02C8,0xF8DE02C8,SetBacklightLevelWithDutyRatio,0xFF32C57C
0xDE02D0,0xF8DE02D0,MuteOn,0xFF32C594
0xDE02D8,0xF8DE02D8,MuteOff,0xFF32C5DC
0xDE02E0,0xF8DE02E0,FlushBmp,0xFF32C628
0xDE0300,0xF8DE0300,MuteOnImage,0xFF13ACA4
0xDE0308,0xF8DE0308,MuteOffImage,0xFF13AC80
0xDE0320,0xF8DE0320,DISP_StartMix,0xFF32D7EC
0xDE0330,0xF8DE0330,ReverseTFT,0xFF13B410
0xDE0338,0xF8DE0338,MirrorTFT,0xFF13B448
0xDE0340,0xF8DE0340,NormalTFT,0xFF13B480
0xDE0358,0xF8DE0358,DispLockStart,0xFF137D40
0xDE0360,0xF8DE0360,DispLockStop,0xFF137D64
0xDE0464,0xF8DE0464,StartTPLog,0xFF3358F4
0xDE04A4,0xF8DE04A4,TCH_SimpleCheck,0xFF3353A8
0xDE04AC,0xF8DE04AC,TCH_SetDeltaRawValue,0xFF3354E8
0xDE04C4,0xF8DE04C4,TCH_SetOpe2SysTime,0xFF335430
0xDE04CC,0xF8DE04CC,TCH_SetMutualGlobaliDacValue,0xFF335550
0xDE04D4,0xF8DE04D4,TCH_SetMutualLocaliDacValue,0xFF335588
0xDE04DC,0xF8DE04DC,TCH_SetMutualGainValue,0xFF3355C4
0xDE04E4,0xF8DE04E4,TCH_SetMutualRawCountsValue,0xFF3355EC
0xDE04EC,0xF8DE04EC,TCH_SetMutualDifferenceCountsValue,0xFF335628
0xDE04F4,0xF8DE04F4,TCH_SetGlobaliDacValueForSelfScan,0xFF335664
0xDE04FC,0xF8DE04FC,TCH_SetGainParamForSelfScan,0xFF3356A0
0xDE0504,0xF8DE0504,TCH_SetLocaliDacValueForSelfScan,0xFF3356BC
0xDE050C,0xF8DE050C,TCH_SetBaselineValueForSelfScan,0xFF33584C
0xDE0514,0xF8DE0514,TCH_SetRawCountsValueForSelfScan,0xFF335884
